Change Component Description : Designator=SW2 Old Description=触点电流:50mA;额定电压(DC):12V;绝缘电阻:100MΩ;电路结构:单刀单掷;安装方式:直插;按钮形状:圆形按钮;按钮/盖帽颜色:黑色;作用力:260gf@±30gf;工作温度:-25℃~+70℃;引脚? New Description=触点电流:50mA;额定电压(DC):12V;绝缘电阻:100MΩ;电路结构:单刀单掷;安装方式:直插;按钮形状:圆形按钮;按钮/盖帽颜色:黑色;作用力:260gf@±30gf;工作温度:-25℃~+70℃;引脚样式:PC引脚;开关长度:6mm;开关宽度:6mm;开关高度:6mm;带支架:否;
Change Component Description : Designator=SW3 Old Description=触点电流:50mA;额定电压(DC):12V;绝缘电阻:100MΩ;电路结构:单刀单掷;安装方式:直插;按钮形状:圆形按钮;按钮/盖帽颜色:黑色;作用力:260gf@±30gf;工作温度:-25℃~+70℃;引脚? New Description=触点电流:50mA;额定电压(DC):12V;绝缘电阻:100MΩ;电路结构:单刀单掷;安装方式:直插;按钮形状:圆形按钮;按钮/盖帽颜色:黑色;作用力:260gf@±30gf;工作温度:-25℃~+70℃;引脚样式:PC引脚;开关长度:6mm;开关宽度:6mm;开关高度:6mm;带支架:否;
Change Component Description : Designator=SW4 Old Description=触点电流:50mA;额定电压(DC):12V;绝缘电阻:100MΩ;电路结构:单刀单掷;安装方式:直插;按钮形状:圆形按钮;按钮/盖帽颜色:黑色;作用力:260gf@±30gf;工作温度:-25℃~+70℃;引脚? New Description=触点电流:50mA;额定电压(DC):12V;绝缘电阻:100MΩ;电路结构:单刀单掷;安装方式:直插;按钮形状:圆形按钮;按钮/盖帽颜色:黑色;作用力:260gf@±30gf;工作温度:-25℃~+70℃;引脚样式:PC引脚;开关长度:6mm;开关宽度:6mm;开关高度:6mm;带支架:否;
Change Component Description : Designator=SW5 Old Description=触点电流:50mA;额定电压(DC):12V;绝缘电阻:100MΩ;电路结构:单刀单掷;安装方式:直插;按钮形状:圆形按钮;按钮/盖帽颜色:黑色;作用力:260gf@±30gf;工作温度:-25℃~+70℃;引脚? New Description=触点电流:50mA;额定电压(DC):12V;绝缘电阻:100MΩ;电路结构:单刀单掷;安装方式:直插;按钮形状:圆形按钮;按钮/盖帽颜色:黑色;作用力:260gf@±30gf;工作温度:-25℃~+70℃;引脚样式:PC引脚;开关长度:6mm;开关宽度:6mm;开关高度:6mm;带支架:否;
Change component parameters: Designator = "U4"; Footprint = "LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL"; UniqueID = "\AZFUOCUM"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM名称"; Value = "无极性贴片电容"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "104"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Origin Footprint"; Value = "C0603_M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "联系卖家，免费查找封装"; Value = "唯一出售店铺网址https://shop463601444.taobao.com"; VariantName = "[No Variations]"
Change component parameters: Designator = "C28"; Footprint = "C0603"; UniqueID = "\YASMUUQY"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM名称"; Value = "无极性贴片电容"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "104"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Origin Footprint"; Value = "C0603_M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "联系卖家，免费查找封装"; Value = "唯一出售店铺网址https://shop463601444.taobao.com"; VariantName = "[No Variations]"
Change component parameters: Designator = "C29"; Footprint = "C0603"; UniqueID = "\OKQQXESS"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM名称"; Value = "无极性贴片电容"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "104"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Origin Footprint"; Value = "C0603_M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "联系卖家，免费查找封装"; Value = "唯一出售店铺网址https://shop463601444.taobao.com"; VariantName = "[No Variations]"
Change component parameters: Designator = "C30"; Footprint = "C0603"; UniqueID = "\DQNAIHKQ"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM名称"; Value = "无极性贴片电容"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "104"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Origin Footprint"; Value = "C0603_M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "联系卖家，免费查找封装"; Value = "唯一出售店铺网址https://shop463601444.taobao.com"; VariantName = "[No Variations]"
Change component parameters: Designator = "C31"; Footprint = "C0603"; UniqueID = "\CZMZGVNN"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM名称"; Value = "无极性贴片电容"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "104"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Origin Footprint"; Value = "C0603_M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "联系卖家，免费查找封装"; Value = "唯一出售店铺网址https://shop463601444.taobao.com"; VariantName = "[No Variations]"
Change component parameters: Designator = "C32"; Footprint = "C0603"; UniqueID = "\ILNGTIQL"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM名称"; Value = "无极性贴片电容"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "104"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Origin Footprint"; Value = "C0603_M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "联系卖家，免费查找封装"; Value = "唯一出售店铺网址https://shop463601444.taobao.com"; VariantName = "[No Variations]"
Change component parameters: Designator = "C33"; Footprint = "C0603"; UniqueID = "\SRYYPCQZ"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM名称"; Value = "无极性贴片电容"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "104"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Origin Footprint"; Value = "C0603_M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "联系卖家，免费查找封装"; Value = "唯一出售店铺网址https://shop463601444.taobao.com"; VariantName = "[No Variations]"
Change component parameters: Designator = "C34"; Footprint = "C0603"; UniqueID = "\CSODFUHX"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM名称"; Value = "无极性贴片电容"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "104"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Origin Footprint"; Value = "C0603_M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "联系卖家，免费查找封装"; Value = "唯一出售店铺网址https://shop463601444.taobao.com"; VariantName = "[No Variations]"
Change component parameters: Designator = "C35"; Footprint = "C0603"; UniqueID = "\CWAFHDUB"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM名称"; Value = "无极性贴片电容"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "104"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Origin Footprint"; Value = "C0603_M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "联系卖家，免费查找封装"; Value = "唯一出售店铺网址https://shop463601444.taobao.com"; VariantName = "[No Variations]"
Change component parameters: Designator = "C36"; Footprint = "C0603"; UniqueID = "\AQSWEEOV"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM名称"; Value = "无极性贴片电容"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "104"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Origin Footprint"; Value = "C0603_M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "联系卖家，免费查找封装"; Value = "唯一出售店铺网址https://shop463601444.taobao.com"; VariantName = "[No Variations]"
Change component parameters: Designator = "C37"; Footprint = "C0603"; UniqueID = "\NTWHFZUB"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM名称"; Value = "无极性贴片电容"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "104"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Origin Footprint"; Value = "C0603_M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "联系卖家，免费查找封装"; Value = "唯一出售店铺网址https://shop463601444.taobao.com"; VariantName = "[No Variations]"
Change component parameters: Designator = "C38"; Footprint = "C0603"; UniqueID = "\KISYXTRR"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM名称"; Value = "无极性贴片电容"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "104"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Origin Footprint"; Value = "C0603_M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "联系卖家，免费查找封装"; Value = "唯一出售店铺网址https://shop463601444.taobao.com"; VariantName = "[No Variations]"
Change component parameters: Designator = "C39"; Footprint = "C0603"; UniqueID = "\WXQKTWHX"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM名称"; Value = "无极性贴片电容"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "104"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Origin Footprint"; Value = "C0603_M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "联系卖家，免费查找封装"; Value = "唯一出售店铺网址https://shop463601444.taobao.com"; VariantName = "[No Variations]"
Change component parameters: Designator = "CE1"; Footprint = "C0805"; UniqueID = "\RGAEXVGG"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM名称"; Value = "直插电解电容"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "CE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "3.3uF/16V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Origin Footprint 1"; Value = "C0805_M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Origin Footprint 2"; Value = "C0805_M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "CE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "联系卖家，免费查找封装"; Value = "唯一出售店铺网址https://shop463601444.taobao.com"; VariantName = "[No Variations]"
Change component parameters: Designator = "CE2"; Footprint = "C0805"; UniqueID = "\QZJZVVMM"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM名称"; Value = "直插电解电容"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "CE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "22uF/16V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Origin Footprint 1"; Value = "C0805_M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Origin Footprint 2"; Value = "C0805_M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "CE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "联系卖家，免费查找封装"; Value = "唯一出售店铺网址https://shop463601444.taobao.com"; VariantName = "[No Variations]"
Change component parameters: Designator = "CE3"; Footprint = "C0805"; UniqueID = "\LYODEIRH"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM名称"; Value = "直插电解电容"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "CE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "22uF/16V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Origin Footprint 1"; Value = "C0805_M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Origin Footprint 2"; Value = "C0805_M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "CE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "联系卖家，免费查找封装"; Value = "唯一出售店铺网址https://shop463601444.taobao.com"; VariantName = "[No Variations]"
Change component parameters: Designator = "CE4"; Footprint = "C0805"; UniqueID = "\FJWTILFN"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM名称"; Value = "直插电解电容"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "CE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "22uF/16V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Origin Footprint 1"; Value = "C0805_M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Origin Footprint 2"; Value = "C0805_M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "CE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "联系卖家，免费查找封装"; Value = "唯一出售店铺网址https://shop463601444.taobao.com"; VariantName = "[No Variations]"
Change component parameters: Designator = "CE5"; Footprint = "C0805"; UniqueID = "\UJVWGVHX"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM名称"; Value = "直插电解电容"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "CE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "22uF/16V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Origin Footprint 1"; Value = "C0805_M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Origin Footprint 2"; Value = "C0805_M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "CE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "联系卖家，免费查找封装"; Value = "唯一出售店铺网址https://shop463601444.taobao.com"; VariantName = "[No Variations]"
Change component parameters: Designator = "U6"; Footprint = "ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP"; UniqueID = "\QFDCEHLR"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20190626/C16581_611BCF5D7CF554EAE465137A8F68DB3E.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "TP4056-42-ESOP8"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FootprintName"; Value = "ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "扩展库"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "TP4056-42-ESOP8"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "TOPPOWER(南京拓微)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ManufacturerPart"; Value = "TP4056-42-ESOP8"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelId"; Value = "d3e00daa36c445139c055a3b9efb85d2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelName"; Value = "ESOP-8_L4.9-W3.9-H1.6-LS6.0-P1.27"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelTransform"; Value = "240.157,192.913,0,90,0,0,0,0,0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "ESOP-8"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SupplierPart"; Value = "C16581"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "TP4056"; VariantName = "[No Variations]"
Change component parameters: Designator = "U2"; Footprint = "SOP-16_L9.9-W3.9-P1.27-LS6.0-BL"; UniqueID = "\THLWBMQZ"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20200402/C507179_EDEF75F06BD662FE8D3145782CF64ACB.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "74HC4052M/TR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FootprintName"; Value = "SOP-16_L10.0-W3.9-P1.27-LS6.0-BL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
